position,question,topic,example_answer
be,"Describe the difference between synchronization and asynchronous (blocking, non-blocking) / pros and cons.",operating system,"Motivation/asynchronous can be divided into two or more things timed/not timed.Synchronization is a method of executing a command that matches the method return and the time the result is received. In addition, the synchronization method is the same as the end time of one function and the start time of the next function.The asynchronous method is a method of running multiple processes together, which can handle more tasks per unit time than the synchronous method. However, asynchronous processing of CPU or memory-intensive tasks can be overloaded. The complexity of the program will also increase.Blocking/non-blocking is a classification of how to deal with targets (IOs/multi-threads) that I can't directly control, with a different perspective than synchronization/asynchronous.Blocking means that the target has control until the end of the operation of the target. Non-blocking, on the other hand, performs new tasks regardless of whether or not the target has completed the task.Because synchronous nonblocking continues to poll, context switching continues to occur, resulting in delays.See https://youtu.be/HKlUvCv9hvA ."
be,Explain multi-threaded programming.,operating system,"Multi-threaded programming is called multi-threaded programming, which creates multiple threads in a single process to minimize redundancy in the creation and management of resources.Benefits<ul><li> Less memory resource consumption compared to multi-processes.</li><li>The hip area enables thread-to-thread communication, making it simpler than process-to-process communication.</li>The context switching of the <li>thread is faster than the context switching of the process.</li></ul>Disadvantages<ul><li>Sync when using resources in the hip area.</li><li>Overuse of the lock for synchronization can degrade performance.</li><li>If one thread operates abnormally, the other thread may also be terminated.</li></ul>"
be,Explain what Thread-safe means and how to design it.,operating system,"A state in which memory visibility is ensured so that the consistency of the operation results can be ensured even if two or more threads enter a race condition or approach the same object at the same time.<ul><li>java.util.concurrent Use the class under the package.</li><li> Do not place the instance variable.Use the </li>Singleton pattern (in this case, the Singleton pattern you typically implement does not have a Thread-safe) [Note] (https://github.com/ksundong/TIL/blob/master/DesignPattern/singleton-pattern.md) </li><li>Syncronized) block to perform the operation.</li></ul>"
be,Describe the process synchronization.,operating system,"There are a lot of things we need to know. During the interview, let's answer by cutting it short. If you go too deep, there is a possibility of reversing your words, and it is easy to give the impression that you do not know well.In a multi-process environment, only one process, such as resources, is accessible.Be careful because there is a possibility that the operation results will be returned incorrectly because the data will be inconsistent if the process is not synchronized.Race Condition: refers to a situation where multiple processes or threads attempt to access resources without a synchronization mechanism. This refers to situations in which execution results may vary depending on the order of access to shared resources.Critical Section: A block of code that accesses shared resources that multiple threads should not access at the same time. Only one thread or process is accessible to one critical zone. To control access to critical zones, we use mechanisms such as Semaphore and Mutex.Conditions for resolving critical zone issues (must meet all)<ul><li>Mutual Exclusion: If one process is operating in a critical zone, the other process is not accessible.</li><li>Progress: If you do not have a process working in a critical zone, select the process you want to enter the threshold zone appropriately so that you can enter it.</li><li>Bound Waiting: After one process requests entry into the critical area, the other process must be limited to a finite number of times. (Prevent starvation)</li></ul>"
be,Explain how to solve the deadlock and hunger.,operating system,"You must know what a Deadlock is. It means that different processes are waiting for the return of resources they occupy with each other.Occurrence condition<ul><li>Mutual exclusion: Only one process at a time should be available for that resource.</li><li>Wait for occupancy: Wait for other resources with allocated resources.</li><li>Non-priority: The resource cannot be taken away until another process finishes using it.</li><li>Circular Standby: Each process has the resources required by the following processes cyclically.</li></ul>Resolution<ul><li>Prevent: Do not satisfy any of the four conditions.</li><li>Avoid: Prevent algorithms from being deadlocked.</li><li>Recover: When a deadlock occurs, resolve it.</li><li>ignore: If the performance of the recovery process is severely degraded, just ignore it.</li></ul>Starvation: When multiple processes compete to occupy scarce resources, a particular process is never allocated resources.Change the priority (change the priority from time to time, increase the priority of the long-awaited process, or use Queue)"
be,Explain the difference between Semaphore and Mutex.,operating system,"Semaphore is a method in which multiple processes manage accessible shared resources, and it can be Mutex, but Mutex is a method in which only one process is managed accessible at a time. Therefore, Mutex cannot be semaphore.In addition, while semaphores can be released by other processes, Mutex can only return the lock by the process that has acquired the lock."
be,Describe the virtual memory.,operating system,"Virtual memory is a technology that enables a process to use memory regardless of the size of the actual memory.Virtual memory consists of a swap area of physical memory (RAM) and auxiliary storage (auxiliary storage).The OS manages the memory through a memory management unit, and the process does not know whether the memory you use is actual memory or swap area.In Java, OOM can occur if the Swap area is not held.Because the Swap area is not real memory, there is a lot of latency, preferably designed to disable Swap memory, and if you continue to use it, you may suspect a memory leak."
be,Describe Cathy's locality.,operating system,"You should know what cache is and why you are using it. I'll link to a good article about it. https://parksb.github.io/article/29.html can be divided into time locality and space locality, time locality refers to the tendency to re-access recently accessed data, and space locality refers to the tendency to re-access the surrounding space of recently accessed data."
be,Please explain the reasons and pros and cons of using indexes in the database.,database,"The reason why databases use indexes is to improve search performance.However, in order to improve search performance in practice, an index must be created that takes into account factors such as Cardinality and Selectivity, whether the query uses an index.A common advantage is fast search performance.The general disadvantage is the cost of constructing an index, i.e., additional operations to form the index during the add, modify, and delete operations.Therefore, when generating an index, the elements in the trade-off relationship must be comprehensively considered.However, using indexes everywhere can have negative effects.1. Generating an index requires additional storage space and may cause overhead for index management.2. If there is an index, the index is also updated when data is inserted, modified, and deleted. Therefore, as the number of indexes decreases, writing performance may decrease.3. If there is an index that is not used for the query, there may be a negative impact on system overall performance because the index unnecessarily occupies system resource space.4. Managing indexes is also a costly task, so it can be difficult to manage if the index increases.Since there are problems such as, sufficient analysis and review of the index is required before generation, so the system must be balanced."
be,Please explain the transaction.,database,"A transaction is a logical unit of work that changes the status of a database, and a transaction can have multiple operations.Transactions can be said to be successful if even one task fails while performing, and all must be successful."
be,Please explain the ACID.,database,"ACID is a property to ensure that transactions are carried out securely.<ul><li>Atomicity: The operation of a transaction must be performed perfectly, and if even one operation fails, all operations within the transaction must fail.</li><li>Consistency: Transactions can only be changed to a valid state.</li><li>Isolation: Transactions must run independently without being affected by other transactions if they run simultaneously.</li><li>Durability: After a transaction is committed, you must ensure that it remains committed even if a system error occurs. </li></ul> (typically means data is stored in non-volatile memory)"
be,Please explain the Transaction Isolation Levels.,database,"The level of transaction isolation controls the trade-off of isolation and performance.<ul><li>READ UNCOMITED: You can also refer to uncommitted content in other transactions.</li><li>READ COMITED: You can refer only to commitments made in other transactions.</li><li>REPEATABLE READ: You can only refer to commitments made prior to entering the transaction.</li><li>SERIALIZABLE: When you enter a transaction, lock it so that it won't be accessible to other transactions.</li></ul>"
be,Please explain the regularization.,database,"Normalization means designing a database to meet data duplication protection, integrity.There were cases where I asked more than this, but I think I need to learn more."
be,Please explain JOIN.,database,You simply need to know how JOIN queries work in SQL.It's better to understand it in a diagram.
be,Please explain RDBMS vs NOSQL.,database,"RDBMS is a database that stores data through the relationship of objects that make up the database. SQL can be used to store, query, modify, and delete data, and it aims to store data efficiently, and structuring is critical.Benefits include ensuring a clear data structure and avoiding duplication.NOSQL stores data in a freer format than RDBMS. It can also be horizontally expanded and supports distributed processing. There are various types of NOSQL databases, such as key-value store, bigtable, dynamo, document db, and graph db.The two are not replaceable, they should be selected and used as appropriate when needed. They can be complementary beings that they both share."
be,Please briefly explain about Redis.,database,"Redis는 key-value store NOSQL DB입니다. It operates as a single thread and supports data structure. And it supports a variety of functions to be used for a variety of purposes. Data can be recovered through snapshots or AOF logs, ensuring some persistence.I understand that spring is often used to manage sessions or caching."
be,Please explain the difference between Redis and Memcached.,database,"Redis operates on a single thread basis, and Memcached supports multi-thread, enabling multi-processing.Redis supports a variety of data structures, and Memcached is saved only as a string.Redis supports a variety of features that can be used for multiple purposes.Redis can recover data through snapshots and AOF logs."
be,Please briefly explain Elastic Search.,database,"Elastic Search is an open-source search engine developed in Java. Instead of using it alone, we usually use additional Logstash, Kibana, and Beats, which are called ELK stacks.It stores data in an Inverted Index structure, ensuring superior performance compared to RDBMS in full-text search.It can be used for a variety of purposes. (Data storage, document retrieval, location retrieval, machine learning-based retrieval, log analysis, security audit analysis, etc.)"
be,Please explain the difference between the index structure of Elastic Search and the index structure of RDBMS.,database,"Elastic Search stores data in an Inverted-Index structure. This is easy if you think about the index of the book, and it's storing docs where certain words appear. RDBMS, on the other hand, uses B-Tree and a similar index. I think it's the difference between where the data exists and in what order it is stored. RDBMS also has various index structures, but the example here is the B-Tree index."
be,Please explain the difference between keyword search in Elastic Search and LIKE search in RDBMS.,database,"Keyword search in Elastic Search separates keywords with the same algorithm that you do when you save the document. Among them, the ranking algorithm displays the results in the most similar order.LIKE searches in RDBMS are relatively slow because they use indexes only if they don't start with wildcards, and they explore the whole thing the rest of the time."
be,Please explain CAP theory and Event Consistency.,database,"The CAP theory is that no system satisfies everyone in a distributed environment.Consistency: Slightly different from ACID consistency. All nodes must show the same data at the same time.Availability: Responses must be returned for all actions.Partition Tolerance: Some of the systems must work even if they are disconnected from the network.CAP can be different depending on how you cluster it if it's hard to say that the system is this. That's why you need to know what strategies you've chosen to take. (Simply MySQL is CA. Rather, think about CA for some reason) and there's a theory that has some limitations, and there's also a PACELC theory.Eventual Consistency is a concept that comes out because it does not guarantee this Consistency, but as a result, it does not fully guarantee Consistency at some point."
be,Please explain the difference between the array and the linked list.,data structure,"The array stores data in order on memory. On the other hand, a linked list is a structure that has a pointer to the location of the following data.The array has high index lookup performance because it can query data by index, and because the data is stored in order in memory, the locality of the cache allows relatively fast navigation.Linked lists have the advantage of being easy to insert or delete data in the middle."
be,Please explain the difference between List and Set.,data structure,"A List is a linear data structure that stores and maintains an order of duplicate data, and a Set is a linear data structure that can store non-overlapping data, and usually does not maintain an order. (Set is a set, such as TreeSet, there are also sets that maintain an order.)"
be,"Please explain Stack, Queue.",data structure,"Stack is a type of linear data structure, and it is a LIFO (Last In First Out) method of data structure that takes out the last stored data first. Examples of stack uses include logging visits (backwarding) and undoing (undo) in a web browser.Q is a type of linear data structure, and it is a FIFO (First In First Out) method of data structure that takes out the first stored data. Examples of queues are waiting to print a printer, waiting to call center customers, and so on."
be,Please explain the worst case of BST and the time complexity.,data structure,"If you think about why you use Self-Balanced Tree rather than BST, it's an easy question to answer.For example, if you store BST sequentially from 1 to 10, the BST will look like a list. This is called the worst case and the time complexity is O(n)."
be,Please explain how to implement the Fibonacci sequence in code.,data structure,"Can the intention of the question be implemented in code the Fibonacci sequence? What is the problem if you used recursive? This leads to the where DP is available.Fibonacci sequences can usually be implemented with a degree of recursion, but redundant operations continue to occur. If you store these duplicated operations in memory and allow them to perform operations only when the results do not exist, you can implement faster operations."
be,Please briefly explain asymmetric key encryption and symmetric key encryption.,security,"Asymmetric key encryption is also known as public key encryption, and public keys are publicly available, and private keys are internally held and can be encrypted or unlocked with each other's own keys. This method is relatively safer than the method of sharing symmetric keys, and instead, computational performance is poor.Symmetric key encryption is a method in which both sides have the same key and use the same key for encryption and unlock. This method may have the problem of exposing the secret key, and it is relatively fast because it requires less computational performance."
be,Please briefly explain unidirectional encryption.,security,"One-way encryption is called non-decryptable encryption. Most of them are implemented using hash algorithms, and when storing sensitive information in a database, they use that method.Normal one-way encryption performs fast, making it vulnerable to indiscriminate college admissions attacks. Therefore, we use the same method as bcrypt to store this information.As the word hash suggests, there is a possibility of collision. The risk of this decryptable encryption means that it caused a hash collision."
be,Please briefly explain about JWT.,security,"JWT can be seen as being used in token authentication methods. Other uses can also be used to share data, but are typically used in token authentication methods.JWT is divided into headers, payloads, and signatures. The header contains the type of token, the encryption algorithm, the payload is the part that contains the token's information, and the signature allows you to determine whether the token's information is reliable.JWT is primarily contrasted with session-based authentication. Session-based authentication costs the server to manage session information. It is also difficult to manage in a distributed environment. However, because JWT has information on its own, it can compensate for the session's shortcomings.There have also been questions comparing JWT with other token-based authentication methods."
be,Please briefly explain OAuth.,security,"OAuth is a third-party authentication method. By default, users cannot trust the server. That is why we are reluctant to write sensitive information. The same is true on the server side. Managing your sensitive information requires resources.So you can understand that OAuth is using OAuth to give trusted servers access to information. This is an advantage because the user can use the service without having to enter sensitive information, and the server does not have to manage sensitive information.Please explain the OAuth architecture."
be,Please list the script and compilation languages and explain the differences.,compiler,"The script languages are PHP, Javascript, and Python, which are representative script languages. Compilation languages include C, C++, Swift, and Go.Java is a bit of a special case. Java is compiled into Java Byte Code when compiled, which operates as an interpreter on the JVM. However, the collaboration between JIT Compiler and Hotspot JVM has enabled us to achieve performance similar to native languages.The difference between the script language and the compilation language is that the script language translates and executes into one-line, one-line machine language in a way called interpreter, and it does not proactively prevent grammar errors, which we call compilation errors. Because it's good to run right away, it's often used in areas that need it. Since the compilation language is translated into machine language code through the compilation process, it can be verified in advance and optimized. This is the advantage of compilers."
be,Please explain the structure of JVM and how Java is executed.,java,"An abbreviation for Java virtual machines, JVM's role is to read Java applications through the class loader and run them with the Java API. It performs memory management (GC) and is a stack-based virtual machine.The structure of the JVM consists of Class Loader, Execution Engine, Runtime Data Area, JNI, and Native Method Library.<ul><li>classloader: a module that loads classes into JVM and places them through links</li><li>Execute engine: Role in executing byte code</li><li>Interpreter: Run byte code line by line.</li><li>JIT Compilers: Compilers to increase interpreter efficiency, and when interpreters find recurring codes, the JIT Compilers will turn recurring codes into native codes. From then on, the interpreter immediately uses code compiled into native code.</li><li>Garbage Collector (GC): Garbage collector refers to removing unused objects from the heap area.</li></ul><li>Runtime Data Area: Different areas used during program execution.</li><ul><li>PC Register: Created at the start of Thread and has the address of the JVM command currently running.</li><li>Stack Area: The area where local variables, parameters, etc. are created. The actual object is assigned to Heap and only its reference is stored in the Stack.</li><li>Heap Area: The target area of the GC where dynamically generated objects and arrays are stored.</li><li>Method Area: Class member variables, method information, type information, Constant Pool, static, final variables, and so on are created. The Constant Pool contains all Symbolic References.</li></ul><li>Java Native Interface (JNI): Provides a way to use functions written in C, C++, and Assembly in Java applications. Call the method using the Native keyword. A typical method is Thread's currentThread().</li><li>Native Method Library: C, C++.</li></ul>How Java runs<ul><li>Java Compiler (javac) reads Java source code (.java) and converts it into Java byte code (.class).</li><li>Load the class files to the JVM via the Class Loader.</li><li>The loaded class files are interpreted through the execution engine.</li><li>The interpreted byte code is placed in the Runtime Data Area for practical performance.</li></ul>"
be,"Please explain what GC is, why you need it, and how it works.",java,"GC is a generic term for removing unused objects from the heap area. This object needs to be removed because Java is a language that the developer cannot directly release the memory. This requires the ability to use and remove objects.The operation of the GC is described in the simplest Serial GC method. The more advanced GC is G1 GC, ZGC, which is not covered here.GC can be divided into Minor GC and Major GC. Minor GC is defined to take place in the young region and Major GC takes place in the old region. (Major GC, Full GC does not have a clearly defined document.) When performing the GC, all threads except those performing the GC are stopped. This is called a stop-the-world.The Minor GC starts with the Eden area full. Mark and copy the objects whose references remain in the Eden area to the survivor area. And empty the Eden area. If the Survivor area is also full, copy and empty it to another Survivor area in the same way. Repeatedly, the object that continues to survive will be moved to the old region.Major GC occurs in the old area. Mark the object that needs to be deleted as opposed to the above. And it's a sweep. Memory is fragmented, so collecting it in one place is called a composition, and it's called a composition. That's why it's called the Mark-Sweep-Compact algorithm.This is important because the system stops when performing GC, which can cause unintended failure. Therefore, adjusting the hip area for this is called GC tuning, and JVM memory should never be adjusted at will."
be,Please explain the collection framework.,java,"Java Collection refers to a library with data structures that can efficiently manage objects and data based on well-known data structures called collection frameworks.List, Set inherits the collection interface, but Map interface is defined separately as a structural difference."
be,Please explain the generics.,java,"Generic is in charge of Java type stability. It is a function that checks the type of the object during the compilation process, which improves the type stability of the object and reduces the hassle of transforming it."
be,Please explain about the announcement.,java,"Annotation is an interface-based grammar that can be attached to the code like an annotation to give the class a special meaning or inject function. The built-in announcement is the @Override announcement that occurs when you inherit and override the method, which is a case in point.Meta Annotation is the annotation you use to declare annotation.<ul><li>@Retention: Specifies the range of notations. (Source, Class, Runtime)</li><li>@Inherit: Specifies whether to forward the annotation to the subclass. With this announcement, you can inherit to the subclass.</li><li>@Target: Decide where to use the annotation. (Type, Field, Method, Parameters, Generator, Local Variables, Annotation Type)</li></ul>"
be,What are overriding and overloading and what's the difference?,java,"Unexpectedly, it's a question that you can hear a lot of answers to.Overriding means redefining the method of the higher class. It is also a runtime polymorphism.Overloading means that you have the same method name within the same class, but you can implement different types and numbers of parameters, and it is also a compilation-time polymorphism. Therefore, it can be overriding.Additionally, think about the reason why you have to write '@Override'. It is recommended to use this annotation because it gives stability to overriding at compilation time."
be,Please explain the difference between the interface and the abstract class.,java,Abstract classes are abstract parent concepts of objects that are used to express common concepts. Single inheritance only. There is an association between sets that inherit abstract classes.The interface is used to ensure that the implementation object does the same. Multiple inheritances are possible. There might be no relationship between the sets that implement the interface.
be,What are the classes and what are the objects?,java,"Classes are used in the same sense as the framework or blueprint that defines the object.An object is an identifiable object or object. The object has a distinguishable identifier, a characteristic behavior, and a changeable state. Use instances as collectives."
be,What is static?,java,"Static is called a class member and is managed by class when the class loader loads the class and loads it into the method memory area.Static members created through the static keyword are stored in PermGen or Metaspace, and the stored memory is shared by all objects and has the advantage of being able to refer to one member anywhere.However, because it exists outside the GC's management area, the memory remains allocated until the end of the program. Too much can adversely affect system performance."
be,What are the primitive types of Java and how many bytes each take up?,java,"Boolean(1), char(unsigned2), byte(1), short(2), int(4), long(8), float(4), double(8) In fact, it is an approximate size rather than an exact size because it is dependent on the JVM."
be,Please explain the type of access controller and what it is.,java,"We have private, default, protected, and public. Private is accessible only within that class, default is accessible in that package, protected is the inherited class, and public is accessible in the entire area.The reason for using the access controller is to selectively provide information that you want to show to the outside world, and there is an aspect that communicates encapsulation."
be,Please explain the object orientation.,java,"If you define object orientation, it's dependency management.Object-oriented dependency management minimizes the impact of changes, enables independent deployment, and enables independent development. Therefore, the most important thing in object orientation is the separation of high-level policy and low-level implementation details through DIP (Dependency Inversion Principles)."
be,Please explain SOLID (the five principles of object orientation).,java,"A Single Responsibility Principle (SRP) should have only one responsibility of one class.The open-close principle (OCP) must be open to expansion but closed to change, and it must take advantage of polymorphism.LSP (Liskop Replacement Principle) is a principle that an object in a program must be able to change to a lower type of instance without breaking the accuracy of the program, and the program must not be broken when the higher type is inherited and redefined.ISP (Interface Isolation Principle) is a principle that clients should not rely on methods they are not using. Multiple interfaces for a particular client are better than one general-purpose interface. In other words, it should be separated into smaller, more specific interfaces than larger ones.The DIP (Inverted Dependency Principle) is the principle that the abstract does not depend on something more specific than one, but rather on something that is changeable. Specifically, it's a principle that you have to rely on the interface, not on the implementation class."
be,"Please explain identity and equality. (equals(), ==)",java,"Equivalence is a comparison of an object's address, and Equivalence is a comparison of the object's equivalence.By default, in Java, the equality() method defined in the Object class performs an identity comparison. As a result, developers can use the equals() method to define the criterion for determining equivalence if desired."
be,Please explain the difference between the raw type and the reference type.,java,"Raw type is a type that only exists in Java. The rest are all reference types, and they're either object classes or classes that inherit them.Raw type must always have a value. Object types, on the other hand, can have null pointers. And when the member variable is initialized, there is also a difference where the raw type has a default, but the reference type has a null pointer."
be,"Please explain the difference between String, StringBuilder, and StringBuffer.",java,"String is constant. StringBuilder and StringBuffer can be seen as variable types used because of the characteristics of these strings.There is a difference between StringBuilder and StringBuffer whether it is Thread-safe or not. StringBuilder is not Thread-safe. Therefore, use StringBuffer when used in a Multi-Thread environment."
be,Please explain CheckedException and UncheckedException. What is the rollback target in spring transaction abstraction?,java,"The difference between the two depends on whether or not you inherit RuntimeException. Inheriting RuntimeException results in UncheckedException. In spring transaction abstraction, the rollback target is UncheckedException.To get to know both of them well, I recommend you watch Toby's Spring."
be,Please explain the features added in Java8.,java,"In Java8, Lambda expression, Stream API, Optional, Date Time API, and StringJoiner were added.Lambda is a function to support functional programming, and the Stream API supports higher-order functions. Optional offers null-safety and is similar to Stream in usage. The date-time API has been influenced by libraries such as Joda-time to become a good API, and StringJoiner provides the ability to easily combine strings into separators."
be,Please explain the try-with-resource.,java,"Try-with-resources is a grammar introduced in Java version 7.If you use one or more resources (objects implementing java.lang.AutoCloseable or java.io .Closeable) before Java 7 version, the developer will randomly select ~~ from the statement.You had to use close() to release the resource.If resources used by developers were omitted without being finally released from the door, the program would malfunction without the resources being released, and even if the resources were finally released from the door, duplicate codes for resource release would occur, which would impair the readability of the source code.To address this, we have introduced the ability to automatically return resources from the JVM regardless of whether logic is completed successfully or abruptly within the try block when explicitly declaring and using resource objects to be used within the try().Additionally, Java 9 version changed to allow you to declare objects outside the try() statement and put variables in the instances created, rather than explicitly declaring objects in the try() statement.Java 7 : try(BufferedReader br = new BufferedReader()) <br>Java 9 : try(br)"
be,Please explain what strong and loose bonds are.,java,"The degree of association represents the degree of dependence and is a measure of how much information you know about other modules.If one module knows too much detail (implementation details) about another module, it is said to have a strong coupling degree.If one module knows only the information it needs about the other (high-level policies abstracted by the interface), the two modules are said to have a low degree of coupling.From an object-oriented perspective, a conjunction plot indicates whether an object or class has only the appropriate level of relationship required for cooperation. From this point of view, strong coupling must be avoided, and developers must consider and design to maintain proper coupling."
be,Please explain serialization and inverse serialization.,java,Serialization refers to both the technology of converting objects or data used inside a Java system into bytes and the technology of converting data back into bytes so that it can also be used on an external Java system.Java serialization is used when persistence is required for object data that resides only in the memory of the JVM. It has the advantage of not disappearing even when the system is shut down and can be transmitted to the network because it is persistent data.
be,Please explain the difference between a mutable object and an Immunable object.,java,"It is often said that a mutable object is a changeable object, and an Imputable object is a constant object.The Mutable object is used as a domain object (domain class or entity). The method of changing a Mutable object is also called the Command method, which defines the return type as void. In addition, any method that changes any state of the void return type is a symbol of the Command method.An Impossible object is an immutable object and is used for value objects, service objects, and so on. The method of changing an Immersible object must return a copy of the object that you changed."
be,Please explain how to safely handle null in Java.,java,"Where it is not a public method, you can use assert to defend against null. You can also use Objects.requireNonNull() to defend when receiving the parameters of the method. You can use the Option to defend against returning null in the return type. Finally, the pre- and post-conditions should be clarified to practice the design by contract."
be,Explain the difference between JDK and JRE.,java,"JDK is an abbreviation for Java Development KIT, a tool used to develop and contains JRE, which is an abbreviation for Java Runtime Environment, which contains the tools needed to run programs made in Java.Install JRE, not JDK, which contains development tools, because places like the production server only require tools to run programs, not tools required for development."
be,How does Spring DI/IoC work?,spring,"IoC (reversal of control) is managed externally rather than directly controlling the control flow of the program, and the final call of the code is made as determined within the framework, not as controlled by the developer.DI (Dependency Injection) is a form of IoC supported by the Spring framework that automatically connects dependencies between classes based on empty configuration information.Spring uses the Spring Container Application Context to create and register configuration information and inject the required objects through the creator or setter."
be,What is Spring Bean?,spring,It is an object contained in an IoC container that is taken from the IoC container and used when needed. You can register a normal object as a Bean by using @Bean or by setting xml.
be,Please explain the process of creating the spring Bean.,spring,"Object creation → dependency setting → initialization → usage → life cycle of extinction process. Bean manages the life cycle by a spring container and uses @PostConstruct for bin initialization and @PreDestroy for bin extinction.When registering the spring bin you created, you can register the bin directly in the bin configuration file using ComponentScan or using @Bean in @Configuration."
be,Please explain the scope of Spring Bean.,spring,"A bin scope refers to the range where a bin can exist, including Single Tone, Prototype, Request, Session, Application, and so on.Singleton is the primary scope, the widest range of scopes maintained until the start and end of the spring container.Prototypes are very short scopes that are only involved in the creation of bins and the injection of dependencies, and no longer manage them.The request is a scope that maintains web requests until they come in and out, the session is a scope that maintains the same scope as the web servlet context until the web session is created and terminated."
be,What is the role of the IoC container?,spring,It instantiates an empty object at the time of application execution and provides one blank for the first time to start the application after DI
be,"What are the DI types, and what is the difference between them?",spring,"There are three ways to DI. There are constructor insertions, method parameter insertions using Setter, and field injections.The generator injection ensures that only one call is made at the time of the generator call and is used for constant, essential dependencies.Setter injection is used for selectable, changeable dependencies and can selectively register spring bins.Field injection uses '@Autowired' and cannot be changed externally, making it difficult to test. It is difficult to operate without the DI framework and is mainly used for spring setting purposes such as test code or '@Configuration' that are not related to the application."
be,Please explain the Autowiring process.,spring,Search the container by type (interface or object) to find and inject empty objects that can be allocated
be,What is the fe controller pattern?,spring,"Making and using a servlet for every client's various requests will inevitably reduce the efficiency of development and maintenance. The fe controller pattern enables greater development and maintenance efficiency by delegating each request to the right place and encapsulates common functions such as security, internationalization, routing and logging for all requests in one place. In Spring, DispatcherServlet is an example of a fe controller pattern, and DispatcherServlet is registered as Bean, scans the package, checks the @Controller, @RestControllerAnnotation, and delegates any request to the appropriate Handler method."
be,What is the difference between the Servlet Filter and the Spring Interceptor?,spring,"Filter는 Servlet Filter로써 javax.Classes included in the servlet specification.The Interceptor is a class included in the Spring MVC specification.The Filter is responsible for the post-processing in the Servlet, and the Interceptor is responsible for any processing before and after executing Handler in Spring or after the View Name returned from the controller through ViewResolver is prepared and returned to render the actual View.The Filter registers with the Web Application (web.xml when using Tomcat), and the Interceptor registers with the Application Context in Spring.Filter is used to replace the Argument in Method Signature, HttpServletRequest or HttpServletResponse, etc., or to convert data (such as compression of download files and data encryption), change XML documents using XSL/T, user authentication, logging of resource access, etc.Interceptor is used to mimic AOP, allow Spring applications to use exceptions in the post-processing logic globally, or check the Handler Method for other actions."
be,Please explain how to solve CORS error in Spring.,spring,"You can set up Cors customized using the Servlet Filter, create a configuration class that implements WebMvcConfiguer to override addCorsMappings(), and finally, Spring Security can address this by registering the CorsConfigurationSource as Bean and adding it to the config.It can be resolved by using the @Crossorgin annotation in the Controller class."
be,Please explain the Bean/Component Annotation and explain the difference between the two.,spring,"Both annotations are used to register a Bean in the IoC container@Component : Generates an instance object once (single tone) at execution time based on the class created by the developer@Controller, @Service, @Repository are all @Component and automatically inject dependencies at execution time@Bean : Based on the method created by the developer, the object returned by the method is created once (single tone) as an instance object"
be,What is POJO? What could POJO be in the Spring Framework?,spring,"POJO is a simple class that does not implement or extend a framework interface, class, and is not dependent on the API provided by Java. It is not dependent on a particular environment, so the code is concise and advantageous for automated testing. In the spring, the target for performing the domain and business logic can be POJO targets."
be,"In Spring Web MVC, Thread will be generated for each request and the request will be performed through the controller, so how can only one controller be created?",spring,"in Spring Web MVC, while each request is handled by a separate thread, the controllers themselves are singleton-scoped, meaning only one instance of each controller is created and reused for all requests. This approach ensures efficient memory usage and performance."
be,"Filter is the specification of the servlet, and Interceptor is the specification of the Spring MVC. What should I do if the Spring application handles exceptions through Filter and Interceptor?",spring,"Because the Filter exists outside the DispatcherServlet, it must be handled by the Error Controller when an exception occurs. However, since the Interceptor exists inside the DispatcherServlet, you can apply @ControllerAdvice to handle it."
be,Please explain how to execute the method when running the Spring application.,spring,"There are two ways to create and run a class that implements CommandLineRunner and ApplicationRunner. There are also methods using Spring's ApplicationEvent, @Postconstruct, implementing InitializingBean interface, and @Bean's initMethod."
be,Please explain the dependency and why you need to inject the set value into the generator factor.,spring,"By injecting all dependencies through the constructor, you can immediately execute any action when you create an instance. In addition, no additional settings are required, and it is easy to test without unexpectedly missing dependencies and settings."
be,Describe the five benefits of the JPA persistence context.,JPA,"Persistency context refers to an environment in which an entity is permanently stored.The reasons for writing persistence contexts are primary cache, identity guarantee, write delay, change detection (Dirty checking), and delay loading.Primary Cache: If you can query and you are not in the primary cache, you can query it in the DB and put it in the primary cache.Ensuring identity: Identical comparisons are possible. (==) Write delay: Write delay supporting transactions is possible, and SQL can be collected and sent without sending right away until transaction commitment is made.Dirty checking: Snapshots take the data that entered the primary cache. Create an update SQL against Entities and snapshots at the point of commitment.Delayed loading: When an entity loads an entity, it flies SQL to get that data."
be,Please explain the phase of JPA Propagation propagation.,JPA,"It is a question that came from a large company interview and is likely to ask questions such as the transaction isolation stage.JPA Propagation is an option for situations where you call (run) another transaction during a transaction operation.@Transactional's propagation property allows you to use the called party's transaction as it is or to create a new transaction from the perspective of the called transaction.REQUIRED (default): Runs within a parent transaction and creates a new transaction if there is no parent transaction.In addition, there are types of REQUIRES_NEW, SUPPORTS, MANDATORY, NOT_SUPPORT, NEVER, and NESTED, but I answered only the REQUIRED value because the newcomer has little experience in dealing with it."
